"Bcell"	"MCL"	"BtoMCL_logFC"	"BtoMCL_adj.P.Val"	"combo.name"
"9016"	"1"	"1"	" 0.078900842"	"2.348903e-13"	"9016"
"409"	"1"	"1"	" 0.110056423"	"2.745361e-13"	"409"
"10007"	"1"	"1"	" 0.141387010"	"3.097649e-13"	"10007"
"1475"	"1"	"1"	" 0.300604577"	"3.352574e-13"	"1475"
"92106"	"1"	"1"	" 0.129562669"	"3.034209e-13"	"92106"
"57698"	"1"	"1"	" 0.178891740"	"2.631048e-13"	"57698"
"84967"	"1"	"1"	"-0.160247120"	"3.804811e-13"	"84967"
"29126"	"1"	"1"	" 0.092380800"	"3.034209e-13"	"29126"
"23266"	"1"	"1"	" 0.090723743"	"3.514836e-13"	"23266"
"10988"	"1"	"1"	"-0.112470282"	"4.299450e-13"	"10988"
"151011"	"1"	"1"	" 0.137555923"	"3.403453e-13"	"151011"
"401261"	"1"	"1"	"-0.299464181"	"4.313467e-13"	"401261"
"55699"	"1"	"1"	"-0.090286268"	"4.783475e-13"	"55699"
"1266"	"1"	"1"	" 0.210768826"	"4.560025e-13"	"1266"
"257144"	"1"	"1"	"-0.344272506"	"4.783475e-13"	"257144"
"57804"	"1"	"1"	"-0.168475964"	"5.105469e-13"	"57804"
"3572"	"1"	"1"	" 0.128826748"	"4.194339e-13"	"3572"
"222584"	"1"	"1"	" 0.069401524"	"3.897135e-13"	"222584"
"123016"	"1"	"1"	" 0.127629590"	"3.868100e-13"	"123016"
"112399"	"1"	"1"	" 0.096291452"	"3.943377e-13"	"112399"
"3930"	"1"	"1"	"-0.140987781"	"5.565478e-13"	"3930"
"26511"	"1"	"1"	"-0.128889595"	"5.565478e-13"	"26511"
"51474"	"1"	"1"	" 0.126471065"	"4.528647e-13"	"51474"
"253980"	"1"	"1"	" 0.086676982"	"5.312842e-13"	"253980"
"54478"	"1"	"1"	" 0.158310108"	"5.044479e-13"	"54478"
"55646"	"1"	"1"	" 0.094825822"	"6.219247e-13"	"55646"
"100170841"	"1"	"1"	" 0.095458722"	"5.565478e-13"	"100170841"
"6905"	"1"	"1"	" 0.094153494"	"6.434114e-13"	"6905"
"80760"	"1"	"1"	" 0.110684299"	"5.853893e-13"	"80760"
"94120"	"1"	"1"	" 0.095757885"	"7.049651e-13"	"94120"
"11316"	"1"	"1"	" 0.102818785"	"8.257735e-13"	"11316"
